Date,bovespa,sp500,dolar,nikkei,newyork,nasdaq,xangai,londres
2003-12-01,20521.0,1058.2,2.95,10006.13,6073.0,1972.97,12306.26,4342.6
2003-12-02,20458.0,1070.12,2.92,10452.64,6147.35,1986.8,12526.23,4410.0
2003-12-03,20540.0,1066.62,2.93,10412.24,6139.62,1989.14,12386.01,4378.9
2003-12-04,20414.0,1064.73,2.93,10341.71,6142.78,1966.92,12379.94,4392.0
2003-12-05,20880.0,1069.72,2.94,10406.47,6153.9,1949.26,12309.57,4378.2
2003-12-08,20889.0,1061.5,2.93,10281.25,6122.88,1937.48,12214.19,4367.0
2003-12-09,21260.0,1069.3,2.94,10107.26,6166.17,1955.5,12244.66,4359.8
2003-12-10,20973.0,1060.18,2.93,10053.17,6137.21,1912.24,12321.59,4379.6
2003-12-11,21296.0,1059.05,2.94,9972.58,6108.81,1904.48,12343.89,4335.4
2003-12-12,20974.0,1071.21,2.94,10139.69,6175.99,1947.26,12631.63,4331.3
2003-12-15,20710.0,1074.14,2.93,10308.34,6197.45,1978.77,12705.42,4347.6
2003-12-16,20760.0,1068.04,2.92,10352.04,6172.02,1918.06,12400.85,4348.0
2003-12-17,21199.0,1075.13,2.94,10276.19,6207.08,1922.21,12315.23,4333.0
2003-12-18,21489.0,1076.48,2.93,10096.8,6213.54,1924.62,12225.78,4354.2
2003-12-19,21386.0,1089.18,2.93,10215.71,6288.06,1963.28,12385.19,4397.3
2003-12-22,21630.0,1088.66,2.92,10248.81,6284.3,1946.19,12422.32,4412.3
2003-12-29,22045.0,1095.89,2.9,10454.69,6364.3,1976.93,12443.56,4444.7
2003-12-30,22236.0,1109.48,2.86,10617.62,6442.18,2003.98,12560.34,4457.5
2004-01-05,23532.0,1108.48,2.88,10787.83,6451.26,2020.78,12844.59,4510.2
2004-01-06,23576.0,1122.22,2.85,10918.48,6534.58,2044.55,13063.45,4513.3
2004-01-07,23320.0,1123.67,2.87,10835.9,6541.15,2056.75,13122.99,4505.2
2004-01-08,23717.0,1126.33,2.86,10760.98,6525.3,2089.6,13184.44,4473.0
2004-01-09,23917.0,1131.92,2.85,10932.34,6569.32,2083.64,13326.05,4494.2
2004-01-13,23940.0,1127.23,2.79,10965.61,6543.68,2113.11,13384.3,4449.6
2004-01-14,23399.0,1121.22,2.81,10797.7,6509.45,2104.29,13289.11,4440.1
2004-01-15,22962.0,1130.52,2.82,10855.2,6559.73,2101.86,13336.18,4461.4
